Orderable Part Number,Status,Material Type,Package | Pins,Package Qty | Carrier,RoHS,Lead Finish / Ball Material,MSL Rating / Peak Reflow,Op Temp (C),Part Marking
AM6231ASGGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6231A SGGHAALW 131
AM6231ASGGHIALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,AM6231A SGGHIALW 131
AM6231ASGGHIALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,AM6231A SGGHIALW 131
AM6231ATCGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6231A TCGHAALW 131
AM6231ATCGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6231A TCGHAALW 131
AM6231ATGGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6231A TGGHAALW 131
AM6231ATGGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6231A TGGHAALW 131
AM6231ATGGHIALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,AM6231A TGGHIALW 131
AM6232ASCGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6232A SCGHAALW 131
AM6232ASCGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6232A SCGHAALW 131
AM6232ASGGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6232A SGGHAALW 131
AM6232ASGGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6232A SGGHAALW 131
AM6232ATCGGAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6232A TCGGAALW 131
AM6232ATCGGAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6232A TCGGAALW 131
AM6232ATCGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6232A TCGHAALW 131
AM6232ATCGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6232A TCGHAALW 131
AM6232ATGGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6232A TGGHAALW 131
AM6232ATGGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6232A TGGHAALW 131
AM6232ATGGHIALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,AM6232A TGGHIALW 131
AM6234ASCGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A SCGHAALW 131
AM6234ASCGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A SCGHAALW 131
AM6234ASGGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A SGGHAALW 131
AM6234ASGGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A SGGHAALW 131
AM6234ATCGGAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A TCGGAALW 131
AM6234ATCGGAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A TCGGAALW 131
AM6234ATCGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A TCGHAALW 131
AM6234ATCGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A TCGHAALW 131
AM6234ATGGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A TGGHAALW 131
AM6234ATGGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6234A TGGHAALW 131
AM6234ATGGHIALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,AM6234A TGGHIALW 131
AM6251ASGGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6251A SGGHAALW 131
AM6251ASGGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6251A SGGHAALW 131
AM6251ATCGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6251A TCGHAALW 131
AM6251ATCGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6251A TCGHAALW 131
AM6251ATGGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6251A TGGHAALW 131
AM6251ATGGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6251A TGGHAALW 131
AM6251BSGFHIALWRQ1,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,51BSGFHI
AM6251BSGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,-,Call TI,Level-3-250C-168 HR,-40 to 125,51BSGFHI Q1
AM6252ASGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM6252A SGFHIAMCQ1 131
AM6252ASGFHIAMCRQ1.B,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM6252A SGFHIAMCQ1 131
AM6252ASGGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A SGGHAALW 131
AM6252ATCGGAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A TCGGAALW 131
AM6252ATCGGAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A TCGGAALW 131
AM6252ATCGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A TCGHAALW 131
AM6252ATCGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A TCGHAALW 131
AM6252ATGGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A TGGHAALW 131
AM6252ATGGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A TGGHAALW 131
AM6252BSGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,-,Call TI,Level-3-250C-168 HR,-40 to 125,52BSGFHI Q1
AM6252BTCFHIALWRQ1,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,52BTCFHI
AM6252BTGFHIALWRQ1,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,52BTGFHI
AM6252BTGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,-,Call TI,Level-3-250C-168 HR,-40 to 125,52BTGFHI Q1
AM6254ASGGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A SGGHAALW 131
AM6254ASGGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A SGGHAALW 131
AM6254ATCGGAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A TCGGAALW 131
AM6254ATCGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A TCGHAALW 131
AM6254ATCGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A TCGHAALW 131
AM6254ATCGHIALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,AM6254A TCGHIALW 131
AM6254ATCGHIALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,AM6254A TCGHIALW 131
AM6254ATGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM6254A TGFHIAMCQ1 131
AM6254ATGFHIAMCRQ1.B,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM6254A TGFHIAMCQ1 131
AM6254ATGGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A TGGHAALW 131
AM6254ATGGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A TGGHAALW 131
AM6254BSGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,-,Call TI,Level-3-250C-168 HR,-40 to 125,54BSGFHI Q1
AM6254BTCFHIALWRQ1,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,54BTCFHI
AM6254BTGFHIALWRQ1,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,54BTGFHI
AM6254BTGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,-,Call TI,Level-3-250C-168 HR,-40 to 125,54BTGFHI Q1
